Month,Day,Time,Wind (mph),Visibility (miles),Weather,Sky Condition,Air Temperature,Dew Point,,,Relative Humidity,Wind Chill,Heat Index,Altimeter (inHg),Sea Level,,,,,,,,,,,,,,,,,,
11,22,20:47,Calm,10,Clear,SKC,48,37,,,66%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,22,19:47,W 5,10,Clear,SKC,48,43,,,82%,46,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,22,17:47,Calm,10,Clear,SKC,52,37,,,58%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,22,16:47,Calm,10,Mostly Cloudy,BKN200,55,39,,,55%,NA,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,22,15:47,Calm,10,Mostly Cloudy,BKN200,59,36,,,42%,NA,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,22,13:47,N 6,10,Mostly Cloudy,BKN200,57,39,,,51%,NA,NA,30.16,NA,,,,,,,,,,,,,,,,,,
11,22,12:47,N 7,10,Mostly Cloudy,BKN200,55,41,,,59%,NA,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,22,10:47,Calm,10,Clear,SKC,52,37,,,58%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,22,9:47,Calm,10,Clear,SKC,52,37,,,58%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,22,8:55,Calm,10,Clear,SKC,48,37,,,66%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,22,7:47,Calm,10,Clear,SKC,37,30,,,75%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,22,6:47,Calm,10,Clear,SKC,36,28,,,75%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,21,20:47,NW 3,10,Clear,SKC,46,37,,,71%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,21,19:47,Vrbl 5,10,Clear,SKC,46,36,,,66%,44,NA,30.16,NA,,,,,,,,,,,,,,,,,,
11,21,18:47,SW 5,10,Clear,SKC,52,36,,,54%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,21,17:47,Calm,10,Clear,SKC,52,34,,,50%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,21,16:47,NW 7,10,Mostly Cloudy,BKN200,57,36,,,44%,NA,NA,30.16,NA,,,,,,,,,,,,,,,,,,
11,21,15:47,NW 7,10,Mostly Cloudy,BKN200,61,39,,,45%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,21,13:47,N 5,10,Mostly Cloudy,BKN200,59,43,,,55%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,21,12:47,Calm,10,Mostly Cloudy,BKN200,61,36,,,39%,NA,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,21,9:47,Calm,10,Mostly Cloudy,BKN200,50,37,,,62%,NA,NA,30.23,NA,,,,,,,,,,,,,,,,,,
11,21,8:47,Calm,10,Clear,SKC,48,43,,,82%,NA,NA,30.23,NA,,,,,,,,,,,,,,,,,,
11,21,7:47,Calm,10,Clear,SKC,37,34,,,87%,NA,NA,30.22,NA,,,,,,,,,,,,,,,,,,
11,21,6:47,Calm,10,Clear,SKC,36,32,,,87%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,20,20:47,Calm,10,Clear,SKC,45,37,,,76%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,20,19:47,Vrbl 3,10,Clear,SKC,46,39,,,76%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,20,18:47,Calm,10,Clear,SKC,48,39,,,71%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,20,17:47,Calm,10,Clear,SKC,52,43,,,72%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,20,15:47,N 7,10,Clear,SKC,61,46,,,59%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,20,13:47,Calm,10,Clear,SKC,63,37,,,39%,NA,NA,30.22,NA,,,,,,,,,,,,,,,,,,
11,20,12:47,Calm,10,Clear,SKC,61,36,,,39%,NA,NA,30.24,NA,,,,,,,,,,,,,,,,,,
11,20,11:47,Calm,10,Clear,SKC,59,36,,,42%,NA,NA,30.27,NA,,,,,,,,,,,,,,,,,,
11,20,10:47,Calm,10,Clear,SKC,54,37,,,54%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,20,9:47,Calm,10,Clear,SKC,52,39,,,62%,NA,NA,30.31,NA,,,,,,,,,,,,,,,,,,
11,20,8:47,Calm,10,Clear,SKC,46,39,,,76%,NA,NA,30.3,NA,,,,,,,,,,,,,,,,,,
11,20,7:47,Calm,10,Clear,SKC,41,36,,,81%,NA,NA,30.29,NA,,,,,,,,,,,,,,,,,,
11,20,6:47,Calm,10,Clear,SKC,36,30,,,81%,NA,NA,30.27,NA,,,,,,,,,,,,,,,,,,
11,19,20:47,NE 8,10,Clear,SKC,54,41,,,63%,NA,NA,30.21,NA,,,,,,,,,,,,,,,,,,
11,19,19:47,Vrbl 3,10,Clear,SKC,46,37,,,71%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,19,18:47,Calm,10,Clear,SKC,46,37,,,71%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,19,17:47,Calm,10,Clear,SKC,48,39,,,71%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,19,16:47,NW 5,10,Clear,SKC,54,41,,,63%,NA,NA,30.15,NA,,,,,,,,,,,,,,,,,,
11,19,15:47,Calm,10,Clear,SKC,63,32,,,32%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,19,14:47,Calm,10,Clear,SKC,63,34,,,34%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,19,13:47,NE 3,10,Clear,SKC,63,30,,,30%,NA,NA,30.14,NA,,,,,,,,,,,,,,,,,,
11,19,12:47,N 6,10,Clear,SKC,59,28,,,31%,NA,NA,30.16,NA,,,,,,,,,,,,,,,,,,
11,19,11:47,Vrbl 5,10,Clear,SKC,57,27,,,31%,NA,NA,30.17,NA,,,,,,,,,,,,,,,,,,
11,19,10:47,NE 7,10,Clear,SKC,55,28,,,36%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,19,9:47,NE 15,10,Clear,SKC,54,30,,,41%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,19,8:47,NE 14,10,Clear,SKC,52,34,,,50%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,19,7:47,NE 16,10,Clear,SKC,50,28,,,43%,44,NA,30.18,NA,,,,,,,,,,,,,,,,,,
11,19,6:47,NE 16,10,Clear,SKC,48,28,,,46%,42,NA,30.16,NA,,,,,,,,,,,,,,,,,,
11,18,20:47,Calm,10,Clear,SKC,45,37,,,76%,NA,NA,30.08,NA,,,,,,,,,,,,,,,,,,
11,18,19:47,Calm,10,Clear,SKC,48,39,,,71%,NA,NA,30.07,NA,,,,,,,,,,,,,,,,,,
11,18,18:47,NW 3,10,Clear,SKC,50,43,,,76%,NA,NA,30.05,NA,,,,,,,,,,,,,,,,,,
11,18,17:47,N 7,10,Clear,SKC,54,46,,,77%,NA,NA,30.04,NA,,,,,,,,,,,,,,,,,,
11,18,16:47,NW 5,10,Clear,SKC,57,37,,,48%,NA,NA,30.03,NA,,,,,,,,,,,,,,,,,,
11,18,15:47,NW 9,10,Clear,SKC,64,37,,,37%,NA,NA,30.02,NA,,,,,,,,,,,,,,,,,,
11,18,14:47,NW 9,10,Clear,SKC,64,36,,,34%,NA,NA,30.03,NA,,,,,,,,,,,,,,,,,,
11,18,13:47,N 8,10,Clear,SKC,61,48,,,63%,NA,NA,30.04,NA,,,,,,,,,,,,,,,,,,
11,18,12:47,Vrbl 7,10,Clear,SKC,61,48,,,63%,NA,NA,30.05,NA,,,,,,,,,,,,,,,,,,
11,18,6:47,Calm,10,Partly Cloudy,SCT200,39,37,,,93%,NA,NA,30.13,NA,,,,,,,,,,,,,,,,,,
11,17,20:47,Calm,10,Mostly Cloudy,BKN120,45,39,,,81%,NA,NA,30.2,NA,,,,,,,,,,,,,,,,,,
11,17,18:47,Calm,10,Mostly Cloudy,BKN120,52,45,,,77%,NA,NA,30.19,NA,,,,,,,,,,,,,,,,,,
11,17,4:47 PM,n 5,,,,55.4,46.4,,,71.66,,,30.19,,,,,,,,,,,,,,,,,,,
