,Month,Day,Time,Wind (mph),Visibility (miles),Weather,Sky Condition,Air Temperature,Dew Point,Relative Humidity,Wind Chill,Heat Index,Altimeter (inHg)
227,10,15,8:47,x 10,10,,,63,,73%,,,29.91
226,10,15,7:47,x 9,10,,,63,,73%,,,29.91
225,10,15,6:47,x 7,10,,,63,,73%,,,29.90
224,10,15,3:47,x 10,10,,,66,,68%,,,29.88
223,10,15,2:47,x 8,10,,,66,,68%,,,29.89
222,10,15,1:47,x 7,10,,,64,,68%,,,29.90
221,10,15,12:47,x 7,10,,,63,,73%,,,29.91
220,10,15,11:47,x 5,10,,,61,,77%,,,29.92
219,10,15,11:00,,10,,,59,,82%,,,29.93
218,10,15,8:47,x 8,10,,,57,,82%,,,29.91
217,10,15,6:47,x 8,10,,,57,,88%,,,29.89
216,10,14,1:47,x 10,10,,,63,,77%,,,30.02
215,10,14,12:47,x 8,10,,,61,,77%,,,30.05
214,10,14,11:47,x 8,10,,,61,,77%,,,30.07
213,10,14,10:47,x 3,10,,,59,,82%,,,30.09
212,10,14,9:47,,10,,,57,,82%,,,30.10
211,10,14,8:47,x 6,10,,,57,,82%,,,30.10
210,10,14,6:47,x 8,10,,,57,,82%,,,30.09
209,10,13,1:47,x 10,10,,,63,,77%,,,30.02
208,10,13,12:47,x 8,10,,,61,,77%,,,30.05
207,10,13,11:47,x 8,10,,,61,,77%,,,30.07
206,10,13,10:47,x 3,10,,,59,,82%,,,30.09
205,10,13,9:47,,10,,,57,,82%,,,30.10
204,10,13,8:47,x 6,10,,,57,,82%,,,30.10
203,10,13,6:47,x 8,10,,,57,,82%,,,30.09
202,10,12,9:00,x 5,10,,,63,,77%,,,30.09
201,10,12,5:47,x 13,10,,,63,,77%,,,30.07
200,10,12,2:47,x 5,8,,,66,,73%,,,30.07
199,10,12,1:47,x 7,8,,,64,,73%,,,30.09
198,10,12,12:47,x 5,4,,,63,,77%,,,30.11
197,10,12,11:47,x 5,4,,,61,,83%,,,30.13
196,10,12,10:47,x 5,4,,,59,,88%,,,30.14
195,10,12,8:47,x 6,5,,,59,,82%,,,30.12
194,10,12,7:47,x 5,5,,,59,,82%,,,30.10
193,10,12,6:47,,10,,,59,,88%,,,30.10
192,10,11,8:47,x 3,10,,,57,,94%,,,30.01
191,10,11,2:47,x 9,10,,,68,,64%,,,29.96
190,10,11,1:47,x 9,10,,,66,,68%,,,29.97
189,10,11,12:47,x 8,10,,,63,,77%,,,29.99
188,10,11,9:47,x 3,5,,,57,,88%,,,30.01
187,10,11,7:47,,7,,,57,,88%,,,29.99
186,10,11,6:47,,7,,,57,,88%,,,29.97
185,10,10,8:47,x 6,10,,,59,,94%,,,29.96
