File,,Time,UTC,9/26/22,16:57:10,,
SW,,iID®DataCaptureSoftware,,,,,
SW,,v01.09,,,,,
SW,,4/7/20,,arrive 1-2,,,
SW,,9/26/22,16:54:06,depart 2-1,,,
Lib,,v1.6.3,,,,,
Company,,GmbH,,,,,
OS,,v10.0.17763.865,,,,,
,,,,,,,
,,,,,,,
Settings,,,,,,,
,,mode,DOC,,,,
,,,,,,,
,,YES,,,,,
,,5,,,,,
,,,,,,,
Found,,,,,,,
,,ReaderID,HW-Info,FW-Info,Num-Antennas,,
,,25SQCMICSCB030EB4,,,,,
,,200330,D0.22,98.26.06,2,,
,,200328,D0.22,98.26.06,2,,
,,,,,,,
,,,,,,,
Timestamp,,HexAddress,ReaderID,UID,Collection,DataType,
9/26/22,15:09:33,13,200328,25SQCMICSBB028700B2D3,DOC,2,15:09:33
9/26/22,15:09:35,13,200328,25SQCMICSBB028700B2D3,DOC,1,15:09:35
9/26/22,15:14:12,13,200328,25SQCMICSBB028700B2D3,DOC,1,15:14:12
9/26/22,15:14:13,13,200328,25SQCMICSBB028700B2D3,DOC,2,15:14:13
9/26/22,14:56:08,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:08
9/26/22,14:56:11,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:11
9/26/22,14:56:11,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:11
9/26/22,14:56:11,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:11
9/26/22,14:56:11,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:11
9/26/22,14:56:11,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:11
9/26/22,14:56:11,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:11
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:12
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:12
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:12
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:12
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:12
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:12
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:12
9/26/22,14:56:12,10,200330,25SQCMICSBB039100B1CA,DOC,2,14:56:12
9/26/22,14:56:13,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:13
9/26/22,14:56:18,10,200330,25SQCMICSBB039100B1CA,DOC,1,14:56:18
9/26/22,15:02:56,10,200330,25SQCMICSBB039100B1CA,DOC,2,15:02:56
9/26/22,15:03:00,10,200330,25SQCMICSBB039100B1CA,DOC,1,15:03:00
9/26/22,15:03:00,10,200330,25SQCMICSBB039100B1CA,DOC,2,15:03:00
9/26/22,15:03:00,10,200330,25SQCMICSBB039100B1CA,DOC,1,15:03:00
9/26/22,15:03:00,10,200330,25SQCMICSBB039100B1CA,DOC,2,15:03:00
9/26/22,15:03:01,10,200330,25SQCMICSBB039100B1CA,DOC,1,15:03:01
9/26/22,15:03:01,10,200330,25SQCMICSBB039100B1CA,DOC,2,15:03:01
9/26/22,13:45:28,13,200328,25SQCMICSBB047200B2A8,DOC,2,13:45:28
9/26/22,13:45:31,13,200328,25SQCMICSBB047200B2A8,DOC,1,13:45:31
9/26/22,13:45:31,13,200328,25SQCMICSBB047200B2A8,DOC,2,13:45:31
9/26/22,13:45:31,13,200328,25SQCMICSBB047200B2A8,DOC,1,13:45:31
9/26/22,13:51:27,13,200328,25SQCMICSBB047200B2A8,DOC,1,13:51:27
9/26/22,13:51:28,13,200328,25SQCMICSBB047200B2A8,DOC,2,13:51:28
9/26/22,13:51:28,13,200328,25SQCMICSBB047200B2A8,DOC,1,13:51:28
9/26/22,13:51:28,13,200328,25SQCMICSBB047200B2A8,DOC,2,13:51:28
9/26/22,13:51:28,13,200328,25SQCMICSBB047200B2A8,DOC,1,13:51:28
9/26/22,13:51:28,13,200328,25SQCMICSBB047200B2A8,DOC,2,13:51:28
9/26/22,15:45:49,13,200328,25SQCMICSBB047200B2A8,DOC,2,15:45:49
9/26/22,15:45:54,13,200328,25SQCMICSBB047200B2A8,DOC,2,15:45:54
9/26/22,15:46:03,13,200328,25SQCMICSBB047200B2A8,DOC,2,15:46:03
9/26/22,15:46:04,13,200328,25SQCMICSBB047200B2A8,DOC,1,15:46:04
9/26/22,15:46:04,13,200328,25SQCMICSBB047200B2A8,DOC,2,15:46:04
9/26/22,15:48:57,13,200328,25SQCMICSBB047200B2A8,DOC,1,15:48:57
9/26/22,15:48:58,13,200328,25SQCMICSBB047200B2A8,DOC,2,15:48:58
9/26/22,15:49:02,13,200328,25SQCMICSBB047200B2A8,DOC,1,15:49:02
9/26/22,15:49:08,13,200328,25SQCMICSBB047200B2A8,DOC,1,15:49:08
9/26/22,15:49:09,13,200328,25SQCMICSBB047200B2A8,DOC,2,15:49:09
9/26/22,15:05:14,10,200330,25SQCMICSBB181000B130,DOC,2,15:05:14
9/26/22,15:05:15,10,200330,25SQCMICSBB181000B130,DOC,1,15:05:15
9/26/22,15:05:55,10,200330,25SQCMICSBB181000B130,DOC,1,15:05:55
9/26/22,15:05:58,10,200330,25SQCMICSBB181000B130,DOC,2,15:05:58
9/26/22,13:54:36,13,200328,25SQCMICSBB181400B2DD,DOC,2,13:54:36
9/26/22,13:54:39,13,200328,25SQCMICSBB181400B2DD,DOC,1,13:54:39
9/26/22,13:58:27,13,200328,25SQCMICSBB181400B2DD,DOC,1,13:58:27
9/26/22,13:58:27,13,200328,25SQCMICSBB181400B2DD,DOC,2,13:58:27
9/26/22,9:56:59,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,9:56:59
9/26/22,9:57:00,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,9:57:00
